id,type,pathway_source,substrate1,substrate2,substrate3,substrate4,substrate5,product1,product2,product3,product4,product5
42,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00084,,,,,cpd:C00033,,,,
42,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00033,,,,,cpd:C00084,,,,
44,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00084,,,,,cpd:C00033,,,,
44,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00033,,,,,cpd:C00084,,,,
49,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00469,,,,,cpd:C00084,,,,
49,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00084,,,,,cpd:C00469,,,,
50,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00469,,,,,cpd:C00084,,,,
50,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00084,,,,,cpd:C00469,,,,
52,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00068,cpd:C00022,,,,cpd:C05125,,,,
53,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C05125,cpd:C15972,,,,cpd:C00068,cpd:C16255,,,
54,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C15973,cpd:C00024,,,,cpd:C16255,,,,
54,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C16255,,,,,cpd:C15973,cpd:C00024,,,
55,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00186,,,,,cpd:C00022,,,,
55,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00022,,,,,cpd:C00186,,,,
57,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00074,,,,,cpd:C00022,,,,
59,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00631,,,,,cpd:C00074,,,,
59,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00074,,,,,cpd:C00631,,,,
60,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00631,,,,,cpd:C00197,,,,
60,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00197,,,,,cpd:C00631,,,,
61,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00118,,,,,cpd:C00236,,,,
61,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00236,,,,,cpd:C00118,,,,
62,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00118,,,,,cpd:C00111,,,,
62,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00111,,,,,cpd:C00118,,,,
18,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00354,,,,,cpd:C00118,cpd:C00111,,,
18,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00118,cpd:C00111,,,,cpd:C00354,,,,
63,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00085,,,,,cpd:C00354,,,,
64,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00354,,,,,cpd:C00085,,,,
66,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00668,,,,,cpd:C00085,,,,
66,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00085,,,,,cpd:C00668,,,,
67,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00103,,,,,cpd:C00668,,,,
67,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00668,,,,,cpd:C00103,,,,
69,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00221,,,,,cpd:C01172,,,,
70,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00221,,,,,cpd:C01172,,,,
71,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00668,,,,,cpd:C01172,,,,
71,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C01172,,,,,cpd:C00668,,,,
73,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00267,,,,,cpd:C00221,,,,
73,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00221,,,,,cpd:C00267,,,,
74,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00267,,,,,cpd:C00668,,,,
75,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00267,,,,,cpd:C00668,,,,
76,irreversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00668,,,,,cpd:C00267,,,,
79,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C15973,,,,,cpd:C15972,,,,
79,reversible_reverse,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C15972,,,,,cpd:C15973,,,,
80,reversible,path:hsa00010 Glycolysis / Gluconeogenesis,cpd:C00197,,,,,cpd:C00236,,,,
