Gene,Cluster
hsa:8313,83
hsa:3823,83
hsa:81,2
hsa:54490,17
hsa:409,24
hsa:4007,24
hsa:956,73
hsa:7453,30
hsa:53944,28
hsa:55624,28
hsa:64223,12
hsa:224,24
hsa:3078,27
hsa:51382,27
cpd:C07600,28
hsa:23600,89
hsa:8801,47
hsa:56261,44
path:map00710,12
hsa:9170,8
hsa:3655,5
hsa:80271,2
hsa:1610,35
hsa:8994,11
hsa:50511,14
hsa:495,2
hsa:6198,23
hsa:29082,51
hsa:7448,44
hsa:4041,44
hsa:8844,54
hsa:137075,3
hsa:100288814,16
hsa:378708,89
hsa:59341,54
hsa:51807,2
hsa:3552,6
hsa:3305,71
hsa:22928,8
hsa:3066,25
hsa:2057,43
hsa:146433,53
hsa:58484,24
hsa:79054,44
hsa:8995,11
hsa:23553,2
hsa:406951,18
hsa:56475,18
hsa:1606,44
hsa:5159,45
hsa:29851,32
hsa:8742,2
hsa:64101,18
hsa:5144,13
hsa:3632,3
hsa:407045,36
hsa:10131,18
hsa:4976,10
hsa:30849,10
hsa:6697,17
hsa:154141,71
hsa:10380,6
cpd:C01074,64
hsa:2911,23
hsa:2487,8
hsa:5087,46
hsa:80201,83
hsa:1730,83
hsa:4499,42
hsa:8321,2
hsa:2261,38
hsa:283358,38
hsa:27429,30
hsa:55301,30
hsa:4624,91
hsa:103,14
hsa:406883,38
hsa:9197,38
hsa:84971,8
hsa:9902,18
hsa:5997,47
hsa:116,18
hsa:578,13
hsa:1459,13
hsa:2571,0
hsa:81631,89
hsa:3126,44
hsa:57492,3
hsa:7407,89
hsa:496,91
hsa:669,24
hsa:858,44
cpd:C22539,88
hsa:83549,23
hsa:9615,28
hsa:2619,31
hsa:1512,27
hsa:125981,14
hsa:2618,3
hsa:10476,27
hsa:2026,89
hsa:25973,0
hsa:51246,10
hsa:3174,68
hsa:55191,10
hsa:10376,10
hsa:8536,3
hsa:6434,11
hsa:914,39
hsa:6588,23
hsa:7498,72
hsa:9677,3
hsa:5080,23
hsa:30835,6
hsa:143686,6
hsa:489,83
cpd:C21483,31
hsa:9,1
hsa:4615,8
hsa:64115,25
cpd:C05965,53
hsa:55509,27
hsa:683,43
hsa:50807,27
hsa:142680,24
hsa:5592,44
hsa:4217,47
hsa:808,42
hsa:7090,34
hsa:71,24
hsa:116986,3
cpd:C00130,81
hsa:2780,65
hsa:3356,31
hsa:5288,31
hsa:83706,41
hsa:10297,31
hsa:1870,91
hsa:8435,3
hsa:79778,43
hsa:3812,9
hsa:3551,18
hsa:54795,10
hsa:26330,10
hsa:6752,76
hsa:348158,76
hsa:2806,18
hsa:5494,13
hsa:7976,28
hsa:60481,5
hsa:10097,44
hsa:79465,3
cpd:C07056,64
hsa:941,74
hsa:1160,13
hsa:8560,62
hsa:2673,29
hsa:5598,29
hsa:29086,7
hsa:154064,51
dr:D06238,89
hsa:3309,8
hsa:132884,25
hsa:117581,3
hsa:1994,23
hsa:171389,2
hsa:3576,2
hsa:6659,43
hsa:3912,3
hsa:201633,23
hsa:4919,35
hsa:50814,35
hsa:84002,74
hsa:887,35
hsa:5733,51
hsa:5506,68
hsa:2005,27
hsa:1673,0
hsa:2355,89
hsa:9868,24
hsa:4580,47
hsa:4939,10
cpd:C13051,18
hsa:7388,41
hsa:6263,29
hsa:406980,20
hsa:4141,35
hsa:54600,43
hsa:6543,27
hsa:4248,41
hsa:5295,41
hsa:9087,5
hsa:6569,28
hsa:5063,84
hsa:3002,24
hsa:5771,13
hsa:245973,18
hsa:79147,24
hsa:9246,91
hsa:64419,91
hsa:100506658,76
hsa:3122,24
hsa:7086,18
hsa:7329,43
hsa:3667,87
hsa:4923,23
hsa:54963,31
hsa:146,31
hsa:2165,26
hsa:317749,24
hsa:54995,31
hsa:4191,31
hsa:4792,13
hsa:1191,23
hsa:375775,88
hsa:155066,3
hsa:2556,9
hsa:6385,24
hsa:643847,83
hsa:1629,27
hsa:7039,13
hsa:26007,55
hsa:629,8
hsa:138199,45
hsa:1562,2
hsa:90665,38
hsa:51497,18
hsa:2997,43
hsa:150084,4
hsa:3297,35
hsa:7472,0
hsa:160428,2
hsa:5818,38
hsa:6374,31
hsa:2846,58
hsa:3570,91
hsa:7220,91
hsa:3456,29
hsa:324,29
hsa:8936,83
hsa:3284,83
hsa:974,13
hsa:2181,11
hsa:406887,30
hsa:5286,13
hsa:2959,3
hsa:4660,24
hsa:9926,51
hsa:29956,91
hsa:7423,13
hsa:80142,68
hsa:4716,68
hsa:5525,10
hsa:1020,27
cpd:C00681,13
hsa:5585,0
hsa:90427,55
hsa:57486,35
path:map07034,13
hsa:7424,91
hsa:5609,13
hsa:3439,62
gl:G13106,29
hsa:1591,29
hsa:406909,13
hsa:1375,3
hsa:91860,36
hsa:8874,18
hsa:8031,18
hsa:8739,18
hsa:4775,7
hsa:4929,10
hsa:200959,18
hsa:10788,14
hsa:4720,24
hsa:1840,31
hsa:733,31
hsa:3758,10
hsa:1571,76
hsa:80319,88
hsa:4609,78
hsa:3574,35
hsa:1141,28
hsa:54468,31
hsa:1613,7
hsa:57026,91
hsa:2931,7
hsa:933,76
hsa:10327,91
hsa:10332,38
hsa:142,16
hsa:8408,36
hsa:4853,23
hsa:64802,8
cpd:C02110,25
hsa:284,91
hsa:6416,35
path:map00460,71
hsa:5104,7
hsa:54575,62
hsa:9641,14
hsa:57620,38
dr:D01977,11
hsa:8027,24
hsa:6009,44
hsa:1173,48
hsa:8897,25
hsa:64837,28
hsa:6391,0
hsa:22865,3
hsa:6820,24
hsa:1719,13
hsa:1595,8
hsa:248,68
path:map00905,23
hsa:962,24
hsa:138050,17
hsa:1743,2
hsa:27090,65
hsa:2766,65
hsa:27092,3
hsa:55811,15
hsa:166929,15
hsa:434,41
hsa:10434,3
hsa:80230,91
hsa:3993,2
hsa:8647,24
hsa:219931,31
hsa:6907,10
hsa:64399,10
hsa:1508,31
hsa:55818,31
hsa:1056,25
cpd:C01245,18
hsa:53373,38
hsa:38,13
hsa:868,25
hsa:894,24
hsa:5976,18
hsa:10266,72
hsa:5631,23
hsa:55157,18
hsa:54511,30
hsa:55742,27
hsa:9466,5
hsa:79671,15
hsa:947,35
hsa:9569,65
hsa:3718,13
hsa:222,8
hsa:5594,25
cpd:C00076,23
hsa:3612,27
hsa:3107,62
hsa:2203,44
hsa:80310,44
hsa:2641,3
hsa:1585,11
hsa:64127,17
hsa:27294,17
hsa:3625,71
hsa:55207,2
hsa:2936,18
hsa:22845,18
hsa:186,13
hsa:1213,83
hsa:8131,8
hsa:27165,27
hsa:4012,27
hsa:3680,14
hsa:2339,18
hsa:55964,13
hsa:51365,23
hsa:859,3
cpd:C00762,7
hsa:4496,85
hsa:57176,72
hsa:517,88
hsa:5133,10
hsa:10109,23
hsa:1454,18
hsa:8863,2
hsa:8471,35
hsa:22936,53
hsa:54541,23
hsa:3053,7
hsa:5315,20
hsa:64764,64
hsa:23028,64
hsa:637,18
hsa:797,8
hsa:6484,25
hsa:554235,18
hsa:115650,13
hsa:1572,13
hsa:7367,41
hsa:374875,38
hsa:7064,27
hsa:64768,2
hsa:9420,13
hsa:54766,35
hsa:3586,29
hsa:83700,29
hsa:773,91
hsa:1813,15
hsa:87,7
hsa:54518,19
hsa:4842,35
hsa:9254,72
hsa:2268,71
cpd:C06254,7
hsa:2687,51
hsa:6383,24
hsa:2539,2
hsa:4629,7
hsa:318,27
hsa:7128,2
hsa:5734,24
hsa:8911,27
hsa:1509,35
hsa:406923,2
hsa:3764,46
hsa:9560,46
path:map00904,91
hsa:3033,74
hsa:406953,74
hsa:1379,10
hsa:1027,75
hsa:999,91
hsa:1050,67
hsa:57680,83
hsa:6403,83
hsa:9474,19
hsa:9945,14
hsa:7442,72
hsa:9468,88
hsa:3265,87
hsa:5214,78
hsa:54675,91
hsa:4684,91
hsa:4793,88
hsa:410,45
cpd:C00290,91
hsa:112399,13
hsa:5509,3
hsa:2697,3
hsa:4087,2
hsa:51094,39
hsa:406895,14
hsa:3673,27
hsa:8698,44
hsa:8607,44
hsa:51384,3
hsa:2979,24
hsa:10720,43
hsa:4854,6
hsa:80228,6
hsa:5829,68
hsa:1439,10
cpd:C00280,16
hsa:5145,89
hsa:7316,51
hsa:831,31
hsa:652968,7
hsa:8681,20
hsa:10383,43
hsa:1908,39
hsa:574484,53
hsa:6095,12
hsa:8854,38
cpd:C16510,62
cpd:C02465,43
hsa:2053,11
hsa:3839,24
cpd:C03780,10
hsa:10905,68
hsa:7311,0
hsa:23761,45
hsa:9060,6
hsa:1777,27
hsa:7534,34
hsa:2864,17
hsa:81858,24
hsa:339896,91
hsa:81671,91
hsa:1586,26
hsa:1815,27
hsa:1958,28
hsa:4651,43
hsa:8200,41
hsa:551,7
hsa:29954,15
hsa:2617,24
hsa:6502,63
hsa:2033,74
hsa:1312,62
hsa:84617,66
hsa:7278,90
hsa:57216,68
hsa:613,39
hsa:354,5
hsa:1432,43
hsa:247,24
hsa:2572,2
hsa:29922,78
hsa:8372,10
hsa:22900,10
hsa:407044,42
cpd:C13050,38
cpd:C20971,38
hsa:26528,29
hsa:10254,29
hsa:727897,8
hsa:51079,39
hsa:79728,24
hsa:138429,89
hsa:6597,16
hsa:23395,30
hsa:10654,4
hsa:25796,16
hsa:490,89
hsa:23418,14
hsa:92,30
hsa:127829,23
hsa:1535,29
hsa:3312,87
hsa:4047,35
hsa:5788,35
hsa:9368,29
hsa:995,44
hsa:238,23
hsa:65082,41
hsa:2328,2
hsa:11343,24
hsa:190,27
cpd:C00942,35
hsa:2239,14
hsa:890,78
hsa:994,83
hsa:2799,42
hsa:132,70
hsa:7920,2
hsa:406949,53
hsa:29920,28
hsa:3109,28
hsa:9162,83
hsa:29895,83
hsa:9601,48
hsa:4286,54
hsa:7410,23
hsa:3706,88
hsa:55315,20
cpd:C00044,77
hsa:2978,41
hsa:7201,23
hsa:79660,18
hsa:59285,43
hsa:7169,31
hsa:2783,27
hsa:2149,13
hsa:4245,23
hsa:442910,68
cpd:C00035,38
hsa:1608,38
path:hsa00190,35
hsa:1847,83
hsa:730,44
hsa:1436,76
hsa:10948,76
hsa:9051,2
hsa:51181,27
hsa:3604,83
hsa:1869,29
hsa:151449,52
hsa:4843,27
hsa:5573,28
hsa:83734,78
hsa:54361,35
hsa:4705,43
hsa:64689,88
hsa:10207,37
hsa:51209,5
hsa:5010,88
hsa:5091,68
hsa:84699,23
hsa:27342,8
hsa:1844,23
hsa:80055,88
hsa:10449,18
hsa:89780,20
hsa:221823,30
hsa:83447,51
hsa:2767,21
hsa:3948,65
hsa:8565,51
hsa:5188,72
hsa:60485,43
hsa:55970,8
hsa:2581,44
hsa:2651,13
hsa:63940,8
hsa:7414,83
hsa:2917,83
hsa:4772,70
hsa:627,70
cpd:C04805,55
hsa:6237,24
hsa:3845,89
hsa:581,91
hsa:164284,68
hsa:1495,16
hsa:1111,5
hsa:407016,78
hsa:407032,88
hsa:5932,35
hsa:5566,31
hsa:3418,13
hsa:1373,30
hsa:10159,14
hsa:652,39
hsa:4261,15
hsa:1890,83
hsa:2562,43
hsa:9894,66
hsa:55967,81
hsa:961,38
hsa:9817,0
hsa:3441,53
hsa:6603,27
hsa:2688,15
hsa:55012,23
hsa:1364,14
cpd:C03262,52
hsa:5624,43
hsa:2982,65
hsa:441531,8
hsa:22801,8
hsa:4137,32
hsa:3171,32
hsa:5257,42
hsa:6932,8
hsa:55615,31
hsa:4988,56
hsa:5879,91
hsa:3663,3
hsa:6307,45
hsa:91,64
hsa:7364,24
hsa:801,67
hsa:6196,68
hsa:9230,10
hsa:116442,35
hsa:1442,41
hsa:59272,29
hsa:8692,29
hsa:7471,7
hsa:8550,76
hsa:861,31
hsa:2740,31
path:hsa00480,71
hsa:57134,7
hsa:840,16
hsa:4600,18
hsa:8821,31
hsa:10211,31
hsa:8826,83
hsa:3897,42
hsa:3420,27
hsa:406928,2
hsa:10645,39
hsa:11026,31
hsa:127,14
hsa:7018,13
hsa:4311,27
hsa:3929,31
hsa:65258,18
hsa:4759,10
hsa:10767,35
hsa:6368,2
hsa:553,49
hsa:8760,5
cpd:C21279,27
hsa:2528,29
hsa:5867,3
hsa:56288,68
hsa:10451,71
hsa:7307,88
hsa:284217,86
hsa:6712,39
hsa:22871,36
hsa:55300,24
hsa:391013,24
hsa:2023,24
hsa:54894,30
hsa:144193,30
cpd:C00369,68
path:map00680,17
hsa:54577,54
hsa:7083,23
path:hsa00604,24
hsa:59067,85
hsa:270,65
hsa:10092,53
hsa:9821,19
hsa:2248,16
hsa:8529,3
hsa:5601,13
hsa:111,25
hsa:27125,89
hsa:7365,74
cpd:C00195,18
hsa:1258,35
path:map00902,2
hsa:84649,16
hsa:2122,38
hsa:10110,27
hsa:200186,2
hsa:4359,13
hsa:93589,23
hsa:112714,7
hsa:7846,7
hsa:3600,28
hsa:4637,88
hsa:5606,20
hsa:522,58
hsa:3326,31
hsa:10892,61
hsa:7099,31
hsa:1524,75
hsa:4719,27
hsa:534,83
hsa:4598,11
hsa:2710,78
hsa:117145,2
hsa:27091,28
hsa:10411,13
hsa:665,18
hsa:8881,87
hsa:189,51
hsa:169355,49
hsa:811,20
hsa:9470,5
hsa:440567,5
hsa:3778,18
hsa:4352,31
hsa:27124,42
hsa:58510,11
cpd:C03990,2
hsa:7456,78
hsa:5298,22
hsa:196883,18
hsa:51060,38
hsa:51806,27
hsa:3020,23
hsa:27128,91
hsa:2218,41
hsa:115201,6
cpd:C22540,3
hsa:108,35
hsa:406912,2
hsa:48,17
hsa:158,76
hsa:3449,18
hsa:102800317,18
hsa:2204,88
hsa:1548,41
hsa:27035,0
hsa:94235,0
gl:G13063,41
hsa:50,24
hsa:79966,56
hsa:5602,31
hsa:3161,7
hsa:4696,87
hsa:199713,0
hsa:10014,26
hsa:6548,22
hsa:79092,74
hsa:4688,23
hsa:2180,91
hsa:8794,51
hsa:2912,14
hsa:911,22
hsa:10482,3
hsa:8564,88
hsa:6366,43
hsa:3808,0
hsa:8678,72
cpd:C00025,45
hsa:5142,7
hsa:953,27
hsa:3361,18
hsa:3080,35
cpd:C00080,73
hsa:5562,14
hsa:51529,91
hsa:29896,27
hsa:3597,68
hsa:22929,68
hsa:123099,53
hsa:51311,54
hsa:5861,72
hsa:3480,24
hsa:25902,13
hsa:10319,46
hsa:124454,51
hsa:1896,29
hsa:5648,2
hsa:1029,18
hsa:55515,78
hsa:8912,5
cpd:C03758,76
hsa:90423,74
hsa:8074,23
hsa:125061,20
hsa:7478,87
hsa:81839,27
hsa:9104,43
hsa:6616,30
hsa:3270,65
hsa:120227,78
hsa:114879,31
path:hsa00600,91
cpd:C05966,18
hsa:7430,13
hsa:955,62
hsa:10498,18
cpd:C00951,35
cpd:C00144,78
hsa:152138,29
hsa:4060,29
hsa:5170,10
hsa:29126,68
hsa:388372,91
hsa:7297,28
hsa:3824,10
hsa:805,72
hsa:139341,7
hsa:4190,76
hsa:3043,35
path:hsa00511,38
hsa:9489,38
hsa:140465,71
hsa:3055,71
hsa:1633,49
hsa:2066,2
hsa:4035,17
hsa:57105,17
cpd:C03379,53
hsa:9899,87
hsa:2054,28
hsa:9882,10
hsa:256435,67
hsa:7096,91
hsa:1788,66
hsa:685,39
hsa:2935,64
hsa:10241,17
cpd:C00535,17
hsa:9350,7
cpd:C00551,78
hsa:23291,35
hsa:256076,39
hsa:523,87
hsa:392255,43
hsa:5831,5
cpd:C05151,78
