Gene,Cluster
hsa:8313,43
hsa:3823,43
hsa:81,68
hsa:54490,5
hsa:409,79
hsa:4007,79
hsa:956,77
hsa:7453,77
hsa:53944,45
hsa:55624,45
hsa:64223,77
hsa:224,79
hsa:3078,55
hsa:51382,62
cpd:C07600,33
hsa:23600,4
hsa:8801,15
hsa:56261,15
path:map00710,77
hsa:9170,31
hsa:3655,87
hsa:80271,70
hsa:1610,54
hsa:8994,32
hsa:50511,54
hsa:495,67
hsa:6198,59
hsa:29082,77
hsa:7448,15
hsa:4041,15
hsa:8844,77
hsa:137075,46
hsa:100288814,50
hsa:378708,4
hsa:59341,87
hsa:51807,70
hsa:3552,86
hsa:3305,86
hsa:22928,31
hsa:3066,17
hsa:2057,66
hsa:146433,76
hsa:58484,79
hsa:79054,15
hsa:8995,32
hsa:23553,76
hsa:406951,48
hsa:56475,48
hsa:1606,57
hsa:5159,81
hsa:29851,72
hsa:8742,87
hsa:64101,48
hsa:5144,6
hsa:3632,46
hsa:407045,28
hsa:10131,74
hsa:4976,9
hsa:30849,26
hsa:6697,86
hsa:154141,86
hsa:10380,86
cpd:C01074,84
hsa:2911,59
hsa:2487,31
hsa:5087,5
hsa:80201,43
hsa:1730,43
hsa:4499,8
hsa:8321,70
hsa:2261,0
hsa:283358,0
hsa:27429,3
hsa:55301,3
hsa:4624,51
hsa:103,61
hsa:406883,0
hsa:9197,0
hsa:84971,31
hsa:9902,48
hsa:5997,15
hsa:116,74
hsa:578,6
hsa:1459,6
hsa:2571,44
hsa:81631,4
hsa:3126,15
hsa:57492,35
hsa:7407,85
hsa:496,47
hsa:669,79
hsa:858,15
cpd:C22539,60
hsa:83549,87
hsa:9615,45
hsa:2619,23
hsa:1512,54
hsa:125981,61
hsa:2618,46
hsa:10476,55
hsa:2026,4
hsa:25973,50
hsa:51246,26
hsa:3174,12
hsa:55191,58
hsa:10376,9
hsa:8536,35
hsa:6434,32
hsa:914,29
hsa:6588,80
hsa:7498,87
hsa:9677,46
hsa:5080,59
hsa:30835,86
hsa:143686,86
hsa:489,43
cpd:C21483,23
hsa:9,77
hsa:4615,31
hsa:64115,17
cpd:C05965,3
hsa:55509,25
hsa:683,63
hsa:50807,14
hsa:142680,79
hsa:5592,15
hsa:4217,15
hsa:808,41
hsa:7090,5
hsa:71,79
hsa:116986,46
cpd:C00130,77
hsa:2780,91
hsa:3356,23
hsa:5288,23
hsa:83706,29
hsa:10297,23
hsa:1870,34
hsa:8435,37
hsa:79778,54
hsa:3812,29
hsa:3551,77
hsa:54795,26
hsa:26330,9
hsa:6752,78
hsa:348158,78
hsa:2806,74
hsa:5494,6
hsa:7976,87
hsa:60481,87
hsa:10097,15
hsa:79465,35
cpd:C07056,2
hsa:941,77
hsa:1160,57
hsa:8560,39
hsa:2673,27
hsa:5598,27
hsa:29086,1
