Gene,GAE_recon,Infomap,GAE_Silhouette,UMAP_KMeans
hsa:4864,55,63,28,225
hsa:8503,55,1,17,0
hsa:5971,23,1,46,24
hsa:644150,78,1,47,100
hsa:5273,73,1,28,72
hsa:8697,73,1,41,71
hsa:23179,13,1,74,167
path:map00906,16,2,78,54
hsa:10266,78,1,28,117
hsa:50507,78,2,74,140
hsa:23207,28,5,28,141
hsa:23381,71,1,58,142
hsa:3645,82,1,81,172
hsa:9462,18,1,3,167
hsa:231,1,3,14,109
hsa:10971,5,1,89,75
hsa:6907,38,1,28,215
hsa:100310812,38,1,1,88
hsa:793,17,1,25,56
hsa:27124,48,1,67,39
hsa:55740,77,1,47,100
hsa:494143,71,2,90,144
hsa:162417,5,4,26,174
hsa:406908,65,1,70,152
hsa:3991,42,10,57,23
cpd:C05956,81,3,55,7
hsa:7005,82,1,66,194
hsa:221823,16,4,32,60
hsa:4179,38,1,28,177
hsa:1551,38,2,6,132
hsa:83734,88,5,76,236
hsa:4536,83,1,33,8
hsa:2875,28,4,40,242
hsa:533,5,5,72,53
hsa:11019,10,4,84,97
hsa:7337,23,1,12,74
hsa:4609,78,1,66,57
hsa:1075,78,1,68,98
hsa:55752,48,5,70,35
cpd:C14776,20,4,49,127
hsa:3351,51,1,71,30
hsa:102723475,56,1,5,185
hsa:130399,71,1,70,33
hsa:27294,38,3,27,144
hsa:5154,65,1,10,244
hsa:10105,23,1,29,162
hsa:3682,41,1,73,96
hsa:353376,51,1,66,137
hsa:3976,41,1,12,93
hsa:518,1,5,16,187
hsa:1435,19,1,50,19
hsa:149233,16,1,46,129
hsa:7108,58,2,84,250
hsa:8708,9,6,59,168
hsa:27094,83,1,57,43
hsa:3554,29,1,0,143
hsa:5501,41,1,31,126
hsa:23493,8,1,21,47
hsa:10135,8,1,30,31
hsa:25898,61,1,38,66
hsa:43,78,3,1,152
hsa:3454,28,1,10,129
hsa:2921,3,1,58,78
hsa:2683,82,6,4,168
hsa:3569,48,1,58,243
hsa:23049,7,1,74,142
hsa:3908,55,1,69,32
hsa:3661,55,1,91,32
hsa:9475,58,1,46,135
hsa:9985,71,1,16,25
hsa:387,56,1,15,220
hsa:30833,56,1,37,3
hsa:2737,1,1,5,23
path:map00940,13,4,26,170
hsa:2766,65,1,62,3
hsa:80380,65,1,3,83
hsa:1890,56,2,27,158
hsa:2252,56,1,50,65
hsa:6783,48,2,90,250
hsa:1777,83,1,70,160
hsa:84076,38,4,32,60
hsa:57724,32,5,45,84
hsa:1553,9,2,6,158
hsa:2053,9,2,27,55
hsa:54541,28,1,12,201
cpd:C00551,5,1,73,93
hsa:89941,38,5,84,35
hsa:1432,65,1,52,41
hsa:29107,23,29,84,250
hsa:51776,6,1,25,141
hsa:57026,71,2,60,250
hsa:161,38,22,49,203
path:map00904,17,2,78,14
hsa:3694,90,1,39,246
hsa:8942,78,4,84,198
hsa:29895,1,1,75,56
hsa:11311,41,9,49,226
hsa:3779,65,1,57,43
gl:G13115,6,1,38,89
hsa:405,82,1,61,201
hsa:5332,5,1,19,240
hsa:4314,28,1,58,165
cpd:C01245,67,1,19,193
hsa:1508,58,1,83,98
hsa:5062,8,1,74,227
hsa:873,8,2,6,69
path:hsa00052,65,2,20,250
hsa:1233,65,1,15,131
hsa:53637,16,3,29,79
hsa:245973,71,5,16,95
hsa:3171,71,1,72,147
hsa:26086,83,1,82,79
hsa:126792,82,16,72,114
hsa:3577,1,1,15,4
hsa:3799,78,5,0,73
hsa:7424,55,1,58,204
hsa:1827,1,1,3,51
cpd:C00238,31,1,77,176
hsa:5009,48,1,60,142
hsa:6401,20,1,58,159
hsa:57118,56,1,10,162
hsa:3316,5,1,58,214
hsa:6999,18,4,26,109
hsa:7384,42,13,70,202
hsa:406900,71,1,28,24
hsa:10788,38,1,0,234
hsa:8972,38,4,43,27
hsa:6908,55,1,38,26
hsa:63826,83,3,20,55
hsa:10398,71,1,46,56
hsa:4734,83,1,29,169
hsa:7365,84,2,6,46
hsa:50615,16,1,12,206
hsa:442900,76,1,70,47
hsa:354,1,1,76,176
hsa:22801,28,1,73,96
hsa:100507436,1,1,84,100
hsa:5196,6,1,15,34
hsa:645745,6,18,76,86
hsa:1871,81,1,72,184
hsa:2324,73,1,81,223
hsa:5596,32,1,0,12
hsa:6326,8,1,28,189
hsa:6387,8,1,50,34
hsa:9033,2,86,28,28
hsa:8817,2,1,50,65
hsa:55054,32,5,72,216
hsa:407021,9,1,47,187
hsa:3164,45,1,5,92
hsa:1456,78,1,5,185
hsa:652,38,1,79,213
hsa:3690,65,1,65,41
hsa:9446,30,2,6,157
hsa:8989,24,1,25,162
hsa:5623,9,1,50,19
hsa:2523,4,6,4,168
hsa:79065,11,1,72,176
hsa:30,11,4,40,123
hsa:814,1,1,22,177
hsa:7704,79,1,28,92
cpd:C22381,5,2,29,242
hsa:4312,48,1,58,165
hsa:4982,20,1,38,94
hsa:567,6,1,43,49
hsa:4489,90,18,76,86
hsa:6358,23,1,15,34
hsa:494551,71,1,1,92
hsa:7329,52,1,85,99
hsa:8411,41,5,47,61
hsa:55240,23,1,38,66
hsa:2527,42,6,59,86
hsa:6776,81,1,44,93
hsa:846,24,1,29,193
cpd:C00808,42,53,49,114
hsa:6359,16,1,15,34
hsa:115209,58,5,72,35
hsa:5568,18,1,19,22
hsa:6929,34,1,73,74
hsa:1139,5,1,86,186
hsa:440093,71,1,25,59
hsa:117581,38,1,69,80
hsa:5593,8,1,8,177
hsa:10423,51,1,67,61
hsa:2769,16,1,64,193
hsa:801,11,1,85,56
hsa:3651,36,1,33,23
hsa:1647,42,1,83,98
hsa:7874,18,1,12,25
gl:G13101,42,1,38,78
hsa:4712,88,1,33,8
hsa:4735,90,5,70,35
hsa:3119,88,1,43,232
hsa:5150,78,1,30,31
hsa:11331,44,5,72,84
hsa:51378,71,1,50,19
hsa:8625,41,1,43,164
hsa:4041,65,1,18,68
hsa:3800,73,5,0,73
hsa:23705,6,34,28,225
hsa:283748,6,3,88,195
hsa:9227,69,2,90,69
hsa:3681,71,1,73,96
hsa:4190,32,4,40,198
hsa:124454,5,4,60,44
hsa:10381,77,1,53,178
hsa:5525,71,1,74,83
hsa:125,1,2,87,197
hsa:122011,1,1,5,23
hsa:8994,84,1,43,142
hsa:55361,71,1,67,61
hsa:6667,78,1,74,218
hsa:23534,1,14,84,203
cpd:C00369,9,4,3,171
hsa:9971,56,1,49,145
hsa:574457,17,1,72,133
hsa:9437,6,1,83,112
hsa:406988,73,1,28,140
hsa:23395,71,40,72,72
hsa:22928,24,7,41,144
cpd:C00155,82,1,28,170
hsa:472,9,1,65,98
cpd:C16845,64,3,41,120
hsa:3777,48,1,19,193
hsa:27121,33,1,23,68
hsa:2935,71,11,43,225
hsa:407008,76,1,28,98
hsa:79947,41,2,78,54
hsa:51084,35,4,53,69
hsa:50937,74,1,79,224
hsa:388,23,1,68,184
hsa:6483,46,6,59,114
hsa:59272,90,1,28,179
hsa:9839,42,1,72,99
hsa:3080,1,42,72,231
hsa:1942,55,1,50,19
hsa:64902,6,4,40,242
hsa:2168,6,1,70,122
hsa:137362,11,4,26,42
hsa:84557,11,5,47,185
hsa:5624,55,1,70,146
hsa:8434,55,1,28,61
hsa:4077,9,5,45,84
hsa:2358,65,1,29,108
hsa:23495,44,1,72,184
hsa:947,9,55,70,86
hsa:4594,6,4,41,72
hsa:154807,58,2,84,144
hsa:158,23,1,37,3
hsa:3556,6,1,0,143
cpd:C01074,9,1,28,208
hsa:7832,83,11,35,225
hsa:3304,58,1,12,217
hsa:3628,58,1,77,39
hsa:5867,82,9,49,226
hsa:7037,9,17,49,156
hsa:8290,34,1,25,59
hsa:57689,27,77,76,156
hsa:275,60,7,26,139
hsa:340485,9,3,48,89
hsa:10268,65,1,28,117
hsa:60495,9,2,49,2
hsa:8605,4,3,88,195
hsa:54659,11,2,6,46
hsa:4490,11,18,76,86
hsa:481,9,8,57,23
hsa:2710,6,3,55,62
hsa:4882,45,1,62,121
hsa:9101,32,1,47,53
hsa:6093,41,1,46,135
hsa:9020,51,1,0,24
hsa:6708,77,1,38,112
hsa:2208,8,1,39,165
hsa:55578,41,1,72,35
hsa:2560,65,1,25,103
path:map00902,90,2,78,54
hsa:2846,1,1,56,239
hsa:720,76,1,70,169
hsa:9181,8,1,76,182
hsa:445,32,4,26,142
hsa:858,75,1,39,0
hsa:11326,23,1,89,110
hsa:80824,82,1,3,15
hsa:11040,77,1,39,206
hsa:9986,1,2,78,14
hsa:3276,90,1,12,25
hsa:131,65,2,87,197
hsa:10451,61,1,46,110
hsa:57180,2,1,31,67
hsa:23562,6,1,11,9
hsa:80326,81,1,13,10
hsa:775,56,1,85,228
hsa:54575,14,2,6,46
hsa:3297,6,1,47,141
hsa:8705,48,6,59,114
hsa:57555,20,25,49,114
hsa:653,6,1,89,33
hsa:4207,81,1,3,51
hsa:182,77,1,65,57
hsa:11337,24,5,47,228
hsa:116986,73,1,56,100
hsa:960,65,1,89,94
hsa:7412,81,1,58,159
hsa:135250,81,1,49,100
hsa:406980,71,1,82,173
hsa:54579,38,2,6,46
cpd:C00280,86,1,1,176
hsa:2354,20,1,74,230
hsa:2782,28,1,64,13
hsa:51085,28,4,72,170
hsa:3190,65,1,38,61
hsa:2222,6,2,84,205
hsa:10254,9,1,3,186
hsa:51292,48,1,62,3
hsa:4625,83,1,12,51
hsa:548596,23,1,28,190
hsa:37,90,4,40,123
hsa:6935,78,1,72,245
hsa:1392,23,1,31,191
hsa:23729,23,4,32,60
hsa:1045,23,43,28,124
hsa:55879,6,1,25,103
hsa:9177,24,1,71,188
hsa:10554,77,3,9,99
hsa:346562,83,1,77,193
hsa:28227,6,1,74,83
hsa:5010,6,1,11,9
hsa:1051,23,1,58,135
hsa:57038,71,4,84,83
hsa:23013,76,1,28,57
hsa:442918,8,1,28,32
hsa:50964,8,1,89,68
hsa:10109,76,1,31,67
hsa:4668,1,6,59,235
hsa:2239,20,1,54,212
hsa:3765,51,1,19,30
cpd:C01330,56,1,5,196
hsa:3476,9,1,65,163
hsa:6788,20,1,39,122
hsa:5727,5,1,79,212
hsa:3420,32,4,4,83
hsa:2135,4,16,72,168
hsa:4541,41,1,33,8
hsa:221,32,2,36,197
hsa:2712,19,3,55,62
hsa:3448,6,1,91,36
hsa:91862,88,1,47,92
hsa:9294,24,3,29,247
hsa:6328,42,1,70,189
hsa:3784,39,1,5,185
hsa:8394,9,1,22,61
hsa:821,48,1,28,208
hsa:4544,20,1,5,30
hsa:4357,90,1,49,28
hsa:4659,42,1,31,115
hsa:2868,23,1,31,34
hsa:3916,38,5,72,35
hsa:55699,38,40,49,2
hsa:80223,65,9,70,8
hsa:2152,65,1,58,165
hsa:716,78,1,38,61
hsa:84647,78,3,9,195
hsa:8739,71,1,0,12
hsa:3452,26,1,91,36
hsa:5733,41,3,25,247
